Date,Year,Month,Wheat_Price,Cocoa_Price,Rice_Price,Soybeans_Price,Coffee_Price,Maize_Price,Cotton_Price
2016-06-01,2016,6,156.695036666667,3122.75028267201,420.681818181818,421.228941715909,165.452272727273,179.912739285714,74.1022727272727
2016-07-01,2016,7,133.710203,3049.97729681518,456.238095238095,390.4018125,171.76380952381,161.823044821429,81.0642857142857
2016-08-01,2016,8,127.899911014493,3032.48820296768,414.217391304348,370.316587793478,167.541304347826,150.21541242236,80.2613636363637
2016-09-01,2016,9,123.248756190476,2881.18737013042,384.0,355.90210275,176.295454545455,148.51190170068,77.8613636363636
2016-10-01,2016,10,122.558500166667,2711.35091110878,367.666666666667,358.38667675,178.955238095238,152.617444047619,78.5166666666667
2016-11-01,2016,11,122.549797719298,2482.83126356115,360.818181818182,368.3730895,184.115454545455,151.331415714286,78.9227272727273
2016-12-01,2016,12,122.846325555556,2295.30967167581,367.545454545455,375.28877875,161.780909090909,152.729924659864,79.5025
2017-01-01,2017,1,137.145735833333,2193.82674124701,372.545454545455,379.589978775,168.612727272727,160.012106964286,82.3309523809524
2017-02-01,2017,2,147.361442105263,2034.08396328063,368.5,380.872623986842,166.351,162.962535912698,85.155
2017-03-01,2017,3,146.43149942029,2063.09378081967,367.782608695652,366.095056173913,160.150434782609,158.979119254658,86.7826086956522
2017-04-01,2017,4,138.407590701754,1961.15730959898,374.5,347.861310355263,155.574,156.540452067669,87.0361111111111
2017-05-01,2017,5,146.440213333333,1983.48485387547,402.913043478261,350.179987261364,150.0,158.600219642857,88.6380952380952
2017-06-01,2017,6,157.246191666667,1998.24532343575,444.681818181818,339.728909863636,143.222727272727,157.973907142857,84.7636363636364
2017-07-01,2017,7,174.532416666667,1988.57753865907,419.952380952381,365.4528402,149.802857142857,157.610645892857,84.0880952380952
2017-08-01,2017,8,139.050815072464,1988.55858478323,405.652173913043,345.410749402174,149.877391304348,148.543430357143,79.3409090909091
2017-09-01,2017,9,138.413392333333,1998.29596544082,413.142857142857,353.86020285,146.560476190476,147.315857857143,80.6047619047619
