Year,Month,Quarter_climate,Region,avg_temp_C,total_precip_m,avg_dewpoint_C,avg_rel_humidity_pct,temp_anomaly,precip_anomaly,temp_3m_avg,precip_3m_sum,drought_index,heat_stress,Date,Quarter_commodity,Coffee_Price,PMAIZMTUSDM,PWHEAMTUSDM,PSOYBUSDM,PCOTTINDUSDM,PRICENPQUSDM,PCOCOUSDM
2018,1,1,COLOMBIA,20.313334,0.008063601333333333,15.857697,75.66757,-0.2926477142857138,6.173423809523876e-05,20.103616666666667,0.028995163333333334,0.02932650566666662,24.096712500000002,2018-01-01,1,138.876086956522,155.916875340136,156.388044126984,356.868812,91.0568181818182,422.304347826087,1951.82636758628
2018,1,1,MINAS GERAIS (BRA),23.155996,0.005353268333333334,18.478048,75.058784,-0.00765542857143231,-0.0006847877619047616,23.13618,0.015330420333333334,8.075509523846952e-05,26.9089352,2018-01-01,1,138.876086956522,155.916875340136,156.388044126984,356.868812,91.0568181818182,422.304347826087,1951.82636758628
2018,2,1,COLOMBIA,20.313334,0.008063601333333333,15.857697,75.66757,-0.23985562500000057,-0.0005583612500000001,20.208475333333336,0.026592983666666667,0.023427201250000057,24.096712500000002,2018-02-01,1,136.2835,163.460969736842,172.289119122807,371.232237434211,88.2675,417.85,2122.79856105788
2018,2,1,MINAS GERAIS (BRA),23.155996,0.005353268333333334,18.478048,75.058784,-0.034680500000000336,-0.0010080368749999999,23.146088000000002,0.015695112666666667,0.002460013125000034,26.9089352,2018-02-01,1,136.2835,163.460969736842,172.289119122807,371.232237434211,88.2675,417.85,2122.79856105788
2018,3,1,COLOMBIA,20.313334,0.008063601333333333,15.857697,75.66757,-0.23985562500000057,-0.0005583612500000001,20.313334,0.024190804,0.023427201250000057,24.096712500000002,2018-03-01,1,134.939090909091,172.076589965986,180.918815873016,381.89389625,92.1357142857143,409.772727272727,2503.95123441796
2018,3,1,MINAS GERAIS (BRA),23.155996,0.005353268333333334,18.478048,75.058784,-0.034680500000000336,-0.0010080368749999999,23.155996,0.016059805,0.002460013125000034,26.9089352,2018-03-01,1,134.939090909091,172.076589965986,180.918815873016,381.89389625,92.1357142857143,409.772727272727,2503.95123441796
2018,4,2,COLOMBIA,19.685354,0.014220340666666666,16.890137,83.96525,-0.3864333749999993,0.00036341479166666565,20.104007333333332,0.03034754333333333,0.0390067522916666,23.883616500000002,2018-04-01,2,134.339523809524,175.600982482993,180.376409365079,381.2683785,92.2375,432.380952380952,2624.73533456755
2018,4,2,MINAS GERAIS (BRA),20.156128,0.0008573742333333333,13.96761,67.666954,-0.026740749999998314,-0.00017563682083333344,22.15604,0.0115639109,0.002498438179166498,23.5394757,2018-04-01,2,134.339523809524,175.600982482993,180.376409365079,381.2683785,92.2375,432.380952380952,2624.73533456755
2018,5,2,COLOMBIA,19.685354,0.014220340666666666,16.890137,83.96525,-0.3864333749999993,0.00036341479166666565,19.89468066666667,0.036504282666666665,0.0390067522916666,23.883616500000002,2018-05-01,2,135.609565217391,179.179058928571,192.70383,374.848371306818,94.4785714285715,433.217391304348,2659.61316532566
2018,5,2,MINAS GERAIS (BRA),20.156128,0.0008573742333333333,13.96761,67.666954,-0.026740749999998314,-0.00017563682083333344,21.156083999999996,0.0070680168,0.002498438179166498,23.5394757,2018-05-01,2,135.609565217391,179.179058928571,192.70383,374.848371306818,94.4785714285715,433.217391304348,2659.61316532566
